Value,Description
163,"US, FMC (FEDERAL MARITIME COMMISSION)"
164,"US, DEA (DRUG ENFORCEMENT AGENCY)"
165,"US, DCI (DISTRIBUTION CODES, INC.)"
166,"US, NATIONAL MOTOR FREIGHT CLASSIFICATION ASSOCIATION"
167,"US, AIAG (AUTOMOTIVE INDUSTRY ACTION GROUP)"
168,"US, FIPS (FEDERAL INFORMATION PUBLISHING STANDARD)"
169,"CA, SCC (STANDARDS COUNCIL OF CANADA)"
17,S.W.I.F.T.
170,"CA, CPA (CANADIAN PAYMENT ASSOCIATION)"
171,"NL, BANK GIROCENTRALE BV"
172,"NL, BEANET BV"
173,"NO, NORPRO"
174,"DE, DIN (DEUTSCHES INSTITUT FUER NORMUNG)"
175,FCI (FACTORS CHAIN INTERNATIONAL)
176,"BR, BANCO CENTRAL DO BRAZIL"
177,"AU, LIFA (LIFE INSURANCE FEDERATION OF AUSTRALIA)"
178,"AU, SAA (STANDARDS ASSOCIATION OF AUSTRALIA)"
179,"US, AIR TRANSPORT ASSOCIATION OF AMERICA"
18,CONVENTIONS ON SAD AND TRANSIT (EC AND EFTA)
18,MARKER IDENTIFIER LOCATION
181,EDIBUILD
182,"US, STANDARD CARRIER ALPHA CODE (MOTOR)"
183,"US, AMERICAN PETROLEUM INSTITUTE"
184,"AU, ACOS (AUSTRALIAN CHAMBER OF SHIPPING)"
185,"DE, BDI (BUNDESVERBAND DER DEUTSCHEN INDUSTRIE E.V.)"
186,"US, GSA (GENERAL SERVICES ADMINISTRATION)"
187,"US, DLMSO (DEFENSE LOGISTICS MANAGEMENT STANDARDS OFFIC"
188,"US, NIST (NATIONAL INSTUTITE OF STANDARDS AND TECHNOLOG"
189,"US, DOD (DEPARTMENT OF DEFENSE)"
19,FRRC (FEDERAL RESERVE ROUTING CODE)
19,ROUTE
190,"US, VA (DEPARTMENT OF VETERANS AFFAIRS)"
191,IAPSO (UNITED NATIONS INTER-AGENCY PROCUREMENT SERVICES
192,SHIPPER'S ASSOCIATION
193,"EU, EUROPEAN TELECOMMUNICATIONS INFORMATICS SERVICES (E"
194,"AU, AQIS (AUSTRALIAN QUARANTINE AND INSPECTION SERVICE)"
195,"CO, DIAN (DIRECCION DE IMPUESTOS Y ADUANAS NACIONALES)"
196,"US, COPAS (COUNCIL OF PETROLEUM ACCOUNTING SOCIETY)"
197,"US, DISA (DATA INTERCHANGE STANDARDS ASSOCIATION)"
198,"CO, SUPERINTENDENCIA BANCARIA DE COLOMBIA"
2,CEC (COMMISSION OF THE EUROPEAN COMMUNITIES)
20,BIC (BUREAU INTERNATIONAL DES CONTAINEURS)
20,ROUTE SUBDIVISION
21,ASSIGNED BY TRANSPORT COMPANY
21,GRID LOCATION
22,PAGE
22,"US,ISA (INFORMATION SYSTEMS AGREEMENT)"
23,"FR, EDITRANSPORT"
24,"AU,ROA (RAILWAYS OF AUSTRALIA)"
25,EDITEX (EUROPE)
26,"NL, FOUNDATION UNIFORM TRANSPORT CODE"
27,MARKER TYPE
27,"US, FDA"
28,EDITEUR
28,LATITUDE-LONGITUDE SOURCE
29,"GB, FLEETNET"
29,MAP SOURCE
3,IATA (INTERNATIONAL AIR TRANSPORT ASSOCIATION)
30,"GB, ABTA"
30,MAP REFERENCE
31,"FI, FINISH STATE RAILWAY"
31,GRID SOURCE
32,ALIQUOT
32,"PL, POLISH STATE RAILWAY"
33,"BG, BULGARIA STATE RAILWAY"
33,BLOCK
34,DISTRICT
34,"RO, RUMANIAN STATE RAILWAY"
35,"CZ, TCHECHIAN STATE RAILWAY"
35,DRAINHOLE NUMBER
36,CITY BLOCK
36,"HU, HUNGARIAN STATE RAILWAY"
37,"GB, BRITISH RIALWAYS"
38,"ES, SPANISH NATIONAL RAILWAY"
38,FOOTAGE CALL DIRECTION
39,LOCATION DIRECTION
39,"SE, SWEDISH STATE RAILWAY"
4,ICC (INTERNATIONAL CHAMBER OF COMMERCE)
40,"NO, NORWEGIAN STATE RAILWAY"
40,OUTER CONTINENTAL LEASE LOCATION
41,"DE, GERMAN STATE RAILWAY"
41,LOT
42,"AT, AUSTRIAN FEDERAL RAILWAYS"
42,MAP QUADRANGLE
43,"LU, LUXEMBOURG NATIONAL RAILWAY COMPANY"
43,PRINCIPAL MERIDIAN
44,"IT, ITALIAN STATE RAILWAYS"
44,OUTER CONTINENTAL SHELF AREA
45,"NL, NETHERLANDS RAILWAYS"
45,OUTER CONTINENTAL SHELF BLOCK
46,"CH, SWISS FEDERAL RAILWAYS"
46,OFFICIAL PROTRACTION DIAGRAM
47,"DK, DANISH STATE RAILWAYS"
47,QUARTER QUARTER QUARTER SECTION
48,"FR, FRENCH NATIONAL RAILWAY COMPANY"
48,QUARTER QUARTER SECTION
49,"BE, BELGIAN NATIONAL RAILWAY COMPANY"
49,SECTION TYPE
5,ISO (INTERNATIONAL ORGANIZATION FOR STANDARDIZATION)
50,ABSTRACT
50,"PT, PORTUGUESE RAILWAYS"
51,"SK, SLOVACIAN STATE RAILWAYS"
52,"IE, IRISH TRANPORT COMPANY"
52,LABOR
53,FIATA (INTERNATIONAL FEDERATION OF FREIGHT FORWARDERS A
53,LEAGUE
54,IMO (INTERNATIONAL MARITIME ORGANIZATION
54,SURVEY
55,TIER
55,"US, DOT (UNITED STATES DEPARTMENT OF TRANSPORTATION)"
56,"TW, TRADE-VAN"
57,TRACT
57,"TW, CHINESE TAIPEI CUSTOMS"
58,EUROFER
58,UNIVERSAL TRANSVERSE MERCATOR QUADRANT
59,COURSE DIRECTION
59,"DE, EDIBAU"
6,UN/ECE (UNITED NATIONS - ECONOMIC COMMISSION FOR EUROPE)
60,AREA
60,ASSIGNED BY NATIONAL TRADE AGENCY
61,ASSOCIATION EUROPEENNE DES CONSTRUCTEURS DE...(AECMA)
62,"US,DISTILLED SPIRITS COUNCIL OF THE US (DISCUS)"
63,NORTH ATLANTIC TREATY ORGANIZATION (NATO)
64,"FR, EDIFRANCE"
65,"FR, GENCOD"
66,"MY, MALAYSIAN CUSTOMS AND EXCISE"
67,"MY, MALAYSIA CENTRAL BANK"
68,"US, BUREAU OF ALCOHOL, TOBACCO AND FIREARMS (BATF)"
69,"US, NATIONAL ALCOHOL BEVERAGE CONTROL ASSO. (NABCA)"
7,CEFIC (CONSEIL EUROPEEN DES FEDERATIONS DE L'INDUSTRIE
70,"MY, DAGANG.NET"
71,"US, FCC (FEDERAL COMMUNICATIONS COMMISSION)"
72,"US, MARAD (MARITIME ADMINISTRATION)"
73,"US, DSAA (DEFENSE SECIRUTY ASSISTANCE AGENCY)"
74,"US, NRC (NUCLEAR REGULATION COMMISSION)"
75,"US, ODTC (OFFICE OF DEFENSE TRADE CONTROLS)"
76,"US, ATF (BUREAU OF ALCOHOL, TOBACCO AND FIREARMS)"
77,"US, BXA (BUREAU OF EXPORT ADMINISTRATION)"
78,"US, FWS (FISH AND WILDLIFE SERVICE)"
79,"US, OFAC (OFFICE OF FOREIGN ASSETS CONTROL)"
8,EDIFICE
80,BRMA/RAA - LIMNET - RENET JOINT VENTURE
81,"RU, (SFT) SOCIETY FOR FINANCIAL TELECOMMUNICATIONS"
82,"NO, ENHETSREGISTERET VED BRONNOYSUNDREGISTERNE"
83,"US, NATIONAL RETAIL FEDERATION"
84,"DE, BRD (GESETZGEBER DER BUNDESREPUBLIK DEUTSCHLAND)"
85,"NORTH AMERCA, TELECOMMUNICATIONS INSDUSTRY FORUM"
86,ASSIGNED BY PARTY ORIGINATING THE MESSAGE
87,ASSIGNED BY CARRIER
88,ASSIGNED BY OWNER OF OPERATION
89,ASSIGNED BY DISTRIBUTOR
9,EAN (INTERNATIONAL ARTICLE NUMBERING ASSOCIATION)
90,ASSIGNED BY MANUFACTURER
91,ASSIGNED BY SELLER OR SELLER'S AGENT
92,ASSIGNED BY BUYER OR BUYER'S AGENT
93,"AT, AUSTRIAN CUSTOMS"
93,SENDER'S LOCATION CODE
94,"AT, AUSTRIAN PTT"
94,RECEIVER'S LOCATION CODE
95,"AU, AUSTRALIAN CUSTOMS SERVICES"
96,"CA, REVENUE CANADA, CUSTOMS AND EXCISE"
97,"CH, ADMINISTRATION FEDERALE DES CONTRIBUTIONS"
98,"CH, DIRECTION GENERALE DES DOUANES"
99,"CH, DIVISION DES IMPORTATIONS ET EXPORTATIONS, OFAEE"
A,JURISDICTION TO RECEIVE CREDIT FOR UNIFORM COMMERCIAL CODE FILING
A1,OFFICE
AA,ANNUAL STATEMENTS MAILING ADDRESS
AC,CITY AND STATE
AP,ALL POINTS
AR,ARMED SERVICES LOCATION DESIGNATION
B,TRANSMITTING UTILITY
B1,BRANCH
BE,BUSINESS ECONOMIC AREA (BEA) REGION CODE
BL,GOVERNMENT BILL OF LADING OFFICE CODE (GBLOC)
BS,PLACE OF BUSINESS
C,CONSIGNOR
C2,GEOPOLITICAL NAME CODE
CA,COUNTRY OF ORIGIN
CB,CONFIRMATION MAILING ADDRESS
CC,COUNTRY
CD,CANADA CUSTOMS OFFICE CODE
CE,CORRESPONDENCE MAILING ADDRESS
CG,CONGRESSIONAL DISTRICT
CI,CITY
CL,NATIONAL RATE BASIS (NRB)
CM,CONSOLIDATED METROPOLITAN STATISTICAL AREA (CMSA)
CO,COUNTY/PARISH AND STATE
CR,IN TANK CAR
CS,CANADIAN SPLC
CY,COUNTY/PARISH
D,CENSUS SCHEDULE D
DC,DISTRIBUTION CENTER NUMBER
DE,DESTINATION (SHIPPING)
DL,DELIVERY LOCATION
DO,DISTRICT OFFICE
DP,DEPARTMENT
DR,DISTRICT OF RESIDENCE
DT,DOMICILE TYPE CODE
E,UNIFORM COMMERCIAL CODE FILING OFFICE
EA,EVENT LOCATION
EB,BOROUGH
EL,EMPLOYER LOCATION
F,CURRENT ADDRESS
FA,FACTORY
FE,FREIGHT EQUALIZATION POINT
FF,FOREIGN FREIGHT FORWARDER LOCATION
FI,FEDERAL INFORMATION PROCESSING STANDARDS (FIPS) 55 (NAMED POPULAT
FR,U.S. CUSTOM'S FACILITIES INFORMATION AND RESOURCE MANAGEMENT SYST
FS,FREIGHT STATION ACCOUNTING CODE
FT,FOREIGN TRADE ZONE
FV,FREE ALONGSIDE VESSEL (FREE ON BOARD  F.O.B.  POINT)
G,CENSUS BLOCK GROUP
GL,FREIGHT STATION GEOGRAPHIC LOCATION
H,HOME ADDRESS
I,HOME BASE ADDRESS
IA,INTERNATIONAL AIR TRANSPORT ASSOCIATION (IATA) LOCATION QUALIFIER
IB,ISSUE LOCATION
IM,MILITARY STANDARD MOVEMENT PROCEDURES (MILSTAMP)
IP,POSTAL
IS,IN STORE
IT,INTERMEDIATE FOB POINT
J,CENSUS TRACT
K,CENSUS SCHEDULE K
KE,PORT OF EMBARKATION
KL,PORT OF LOADING
KP,GOVERNMENT FURNISHED PROPERTY FOB POINT
L,LOCAL ADDRESS
LO,LOCAL OFFICE
M,MAILING ADDRESS
MI,MILL
MO,MAIN CAMPUS
MS,METROPOLITAN SAMPLING AREA (MSA) REGION CODE
MZ,MEXICAN POSTAL CODE
NS,CITY/STATE FROM POINTS
O,OFFICE ADDRESS
OA,ORIGIN (AFTER LOADING ON EQUIPMENT)
OF,OTHER UNLISTED FREE ON BOARD (FOB) POINT
OL,OPEN AND PREPAY STATION LIST CODE(SCAC & NUMBER)
OP,OTHER UNLISTED ACCEPTANCE POINT
OR,ORIGIN (SHIPPING POINT)
OV,ON VESSEL (FREE ON BOARD  FOB  POINT)
P,PERMANENT ADDRESS
PA,PORT OF ARRIVAL
PB,PORT OF DISCHARGE
PC,POLICY MAILING ADDRESS
PD,PLACE OF DELIVERY
PE,PORT OF ENTRY
PF,PARENTS ADDRESS
PG,PRIMARY
PH,PRIOR BUSINESS
PL,PLANT
PM,PRIMARY METROPOLITAN STATISTICAL AREA (PMSA)
PO,PRINCIPAL SERVICING OFFICE
PP,POOL POINT
PQ,3 DIGIT U.S. ZIP
PR,4 DIGIT U.S. ZIP
PS,5 DIGIT U.S. ZIP
PT,3 DIGIT CANADIAN POSTAL CODE
PU,6 DIGIT CANADIAN POSTAL CODE
PV,9 DIGIT U.S. ZIP
PZ,11 DIGIT U.S. ZIP
Q,BIRTHPLACE
RA,RATE AREA CODE
RC,IN RAIL CAR
RE,REGIONAL EDUCATION SERVICE AGENCY
RG,REGION CODE
RJ,REGION
RL,RURAL
RS,STANDARD CARRIER ALPHA CODE
RT,ROUTE ADMINISTRATIVE MESSAGE TO
SA,SECONDARY
SB,SUBURBAN
SC,CITY/STATE AND POINTS WITHIN
SD,SCHOOL DISTRICT
SE,SUMMER
SG,STORAGE
SH,SCHOOL CAMPUS CODE
SL,U.S. SPLC
SN,STORE NUMBER
SP,STATE/PROVINCE
SS,SCHOOL
ST,IN STORAGE TANK
SW,SWITCHING DISTRICT
TA,TANK
TC,TRANSCONTINENTAL FREIGHT BUREAU
TI,TRIBAL LAND
TL,TERMINAL CARGO LOCATION
TM,TERMINAL
TN,TOWNSHIP
TP,TEMPORARY
TR,RAIL TERRITORY
TX,TAXING DISTRICT
UN,UNITED NATIONS LOCATION CODE (UNLOCODE)
UR,URBAN
UT,BUSINESS UNIT
VA,VACATION
VI,VILLAGE
VS,VESSEL STOWAGE LOCATION
W,WORLDWIDE GEOGRAPHIC LOCATION CODE
WF,WHARF
WH,WAREHOUSE
WI,WINTER
X1,NATIONAL CENTER FOR EDUCATION STATISTICS LOCALE CODE
ZN,ZONE CODE
ZZ,MUTUALLY DEFINED
ZZZ,MUTUALLY DEFINED
